基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1周),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
005627,2022-09-26,2025-11-07,10.00%,22.74%,-34.33%,0.352,173596.68%,67.24%,21.81%,9.49%,6.65%
007223,2022-09-26,2025-11-07,8.95%,19.82%,-28.79%,0.351,49471.98%,61.57%,18.45%,6.92%,4.06%
007984,2022-09-26,2025-11-07,9.76%,22.18%,-36.71%,0.350,249135.61%,71.27%,21.56%,7.81%,2.54%
011611,2022-09-26,2025-11-07,12.15%,29.02%,-43.32%,0.350,106174737.25%,287.82%,38.81%,14.46%,8.95%
011609,2022-09-26,2025-11-07,12.09%,29.12%,-42.91%,0.346,77002619.07%,259.15%,37.74%,13.98%,8.60%
005919,2022-09-26,2025-11-07,8.92%,20.26%,-28.56%,0.341,63922.27%,57.25%,17.75%,6.63%,3.74%
015795,2022-09-26,2025-11-07,11.45%,27.70%,-39.46%,0.341,62209469.82%,163.03%,36.66%,10.65%,4.99%
016123,2022-09-26,2025-11-07,11.33%,27.59%,-39.64%,0.338,31625708.31%,180.28%,41.67%,9.73%,5.05%
015673,2022-09-26,2025-11-07,11.26%,27.74%,-38.70%,0.334,188305513.62%,217.46%,37.71%,10.61%,5.63%
012901,2022-09-26,2025-11-07,10.44%,25.97%,-39.27%,0.325,12859746.77%,127.60%,31.71%,10.20%,5.51%
001593,2022-09-26,2025-11-07,11.08%,28.01%,-38.82%,0.324,188555840.45%,206.12%,36.89%,10.05%,4.95%
013894,2022-09-26,2025-11-07,11.36%,28.97%,-43.18%,0.323,106560640.26%,266.00%,37.48%,13.74%,8.29%
013811,2022-09-26,2025-11-07,11.35%,29.18%,-43.43%,0.320,99825572.52%,264.10%,37.20%,13.36%,7.94%
501037,2022-09-26,2025-11-07,8.39%,19.98%,-28.30%,0.320,36320.91%,52.95%,16.86%,6.00%,3.05%
006382,2022-09-26,2025-11-07,8.40%,20.28%,-28.96%,0.316,67925.47%,57.51%,17.26%,6.16%,3.29%
070039,2022-09-26,2025-11-07,8.36%,20.23%,-28.73%,0.314,58223.41%,56.16%,17.08%,6.07%,3.15%
004348,2022-09-26,2025-11-07,7.93%,19.09%,-27.34%,0.311,27933.06%,47.62%,15.40%,5.51%,2.87%
004744,2022-09-26,2025-11-07,10.67%,28.10%,-39.77%,0.308,277917682.52%,216.96%,36.94%,9.88%,4.71%
006215,2022-09-26,2025-11-07,7.16%,16.74%,-25.34%,0.308,3963.54%,32.05%,11.82%,4.29%,1.95%
010063,2022-09-26,2025-11-07,7.35%,17.36%,-27.19%,0.308,1158.08%,36.82%,15.68%,4.78%,2.85%
010956,2022-09-26,2025-11-07,10.67%,28.59%,-34.95%,0.303,166500.08%,119.47%,29.14%,15.05%,11.39%
011965,2022-09-26,2025-11-07,8.11%,20.23%,-29.45%,0.302,63302.01%,58.75%,17.44%,6.17%,3.29%
012718,2022-09-26,2025-11-07,9.25%,24.31%,-39.16%,0.298,904586.61%,113.20%,27.38%,6.93%,1.86%
007665,2022-09-26,2025-11-07,9.20%,24.53%,-36.38%,0.294,9035208.04%,112.25%,26.75%,7.14%,3.15%
005727,2022-09-26,2025-11-07,8.92%,24.53%,-36.50%,0.282,544530.43%,103.19%,24.38%,9.06%,5.20%
010356,2022-09-26,2025-11-07,9.95%,28.37%,-39.34%,0.280,300837960.09%,207.97%,35.66%,8.79%,3.36%
013292,2022-09-26,2025-11-07,9.88%,28.35%,-34.68%,0.278,173837.56%,118.45%,27.99%,14.15%,10.60%
013277,2022-09-26,2025-11-07,8.59%,24.71%,-37.27%,0.267,8658321.16%,112.51%,26.49%,6.68%,2.71%
007794,2022-09-26,2025-11-07,6.63%,19.44%,-28.12%,0.238,30256.73%,44.55%,14.66%,5.53%,2.75%
006910,2022-09-26,2025-11-07,6.96%,25.21%,-41.49%,0.197,2271469.91%,109.50%,30.11%,7.90%,2.96%
